"state","agric","mining","constr","durmfr","nondmfr","transp","commun","utils","whole","retail","fire","service","govt"
"AL",2,1.5,4.2,10.5,11.8,2.9,2.9,3.6,6.3,9.9,12.8,16.1,15.5
"AK",1.5,22.4,4.1,1.1,3.7,12.1,2,1.5,2.9,6.5,10.7,11.9,19.6
"AZ",1.7,1.3,5.8,11.5,3,2.8,2.2,2.7,6.3,10.5,18.9,20.2,13
"AR",5.1,1,4,12.8,11.8,4.4,2.4,4.2,6.1,10.2,11.4,14.8,11.8
"CA",2.1,0.6,3.3,9,5,2.6,2.5,1.8,6.8,8.9,22.7,23.1,11.5
"CO",1.8,1.7,5.4,7.7,4.5,3.3,5.7,2.2,6.3,9.7,17,21.6,13.1
"CT",0.7,0,3.3,11,5.7,1.8,2.3,2.2,6.6,7.4,28.2,21.8,9
"DE",1,0,3.4,4.5,16.6,1.6,1.3,2.4,4,6,35.4,14.3,9.4
"FL",1.8,0.2,4.7,4.6,3.5,3.1,3,2.8,7.3,11.2,21.8,23.4,12.4
"GA",1.8,0.4,3.9,7.4,10.7,4,4.5,2.7,8.8,8.9,16.4,18,12.5
"HI",1.2,0.1,4.8,0.8,2.3,4.5,3.1,2.7,4,11.5,21.4,22.2,21.3
"ID",6.3,0.6,5.9,15,5.6,3.5,1.6,3.7,6.1,9.9,12.3,16.3,13.2
"IL",1.4,0.3,4.2,11.3,7.9,3.8,2.3,3.1,7.7,8.1,19.2,20.7,10
"IN",1.8,0.5,4.6,21.4,10.3,3.5,1.4,3.1,6,9.1,13.1,15.3,9.8
"IA",7.6,0.2,4.1,13.2,10.8,3.3,2,2.8,6.8,8.3,14.3,15.3,11.4
"KS",4.4,1.4,4.2,10.4,7.9,3.9,3.6,3.4,7.8,9.6,12.7,16.7,14.1
"KY",2.6,2.6,3.9,14.9,13.2,3.9,1.5,2.9,5.8,8.9,11.2,15,13.6
"LA",1.2,14.8,4.2,3.7,15.3,3.3,1.9,3.6,5.3,7.8,12.1,15.7,10.9
"ME",1.8,0.1,4.5,7.9,10.6,2.3,2,3.1,6,11.1,18.5,18.7,13.5
"MD",0.9,0.1,5,4.1,4.5,2.1,2.9,2.9,6.3,8.7,21.4,23.2,17.8
"MA",0.6,0.1,3.2,10.5,4.9,2,1.9,2.5,7.1,7.8,24.4,25.8,9.2
"MI",1,0.4,3.8,20,7.2,2.4,1.6,2.7,7.2,8.9,15.8,18.5,10.5
"MN",2.9,0.6,4.4,11,8.2,3.7,1.9,2.1,8.3,8.7,17.9,19.5,10.9
"MS",3.2,0.9,3.9,13,10.5,3.2,2.4,5.1,5.6,10,11.5,16,14.9
"MO",1.8,0.4,4.6,11.3,10.1,4,3.5,2.8,7.3,9.1,14.7,19.1,11.2
"MT",5.1,4.9,4.8,4.4,3.3,5.4,2.1,5,6.4,9.9,13.4,19.2,15.9
"NE",9.2,0.2,4.4,7,7.1,6.8,2.1,1.4,7.4,8.3,14.8,17.1,14.1
"NV",0.8,3.7,8.4,3.1,1.7,2.9,1.8,3,4.6,9.4,18.4,32.3,9.9
"NH",0.7,0.1,3.5,16.4,5.7,1.5,1.7,4.4,6.2,9.1,22.2,19.4,9.1
"NJ",0.6,0,3.5,4.3,9.4,3.2,4.1,2.7,9.1,7.3,23.2,21.8,10.8
"NM",1.9,7.1,4.6,14.4,2.1,2.5,1.7,3.5,4.3,8.9,13.9,17.5,17.7
"NY",0.5,0.1,2.9,5.9,5.9,2.1,3.6,2.4,6.2,6.9,29.7,22.9,11.1
"NC",2.3,0.1,4.2,10.2,16.7,2.8,2,3,6.4,8.9,14.6,15.4,13.2
"ND",10.6,3.1,4.9,4.6,2.9,4.9,1.9,4,8.8,9.1,12.7,17.5,15.1
"OH",1.1,0.4,3.9,17.9,9.3,2.9,1.9,3,7.1,9.2,15.3,17.7,10.5
"OK",2.1,5.3,3.2,10.2,7.1,3.7,2.8,3.5,6.1,10,12.5,17.4,16.2
"OR",3,0.1,5.4,16,4.5,3.4,1.9,2.5,8,8.7,16.3,18.3,11.9
"PA",1,0.5,3.8,11.3,9.4,3,2.2,3.6,5.9,8.6,19,21.2,10.5
"RI",0.8,0.1,3.5,11.1,5.6,1.5,2.5,3.1,5.6,8.7,22.6,22.7,12.1
"SC",1.4,0.2,4.7,10.4,16.1,2.4,2,3.6,5.8,10.3,13.3,15.1,14.8
"SD",9.9,1.2,3.7,11.1,3.4,3.1,1.6,3.1,6.1,8.8,20.6,15.6,11.7
"TN",1.2,0.3,3.9,12.4,10.5,4.8,2,1,7.4,10.9,13.8,19.6,12.1
"TX",1.3,7.5,4.4,8.6,7.7,3.7,3.2,3.7,7.3,8.7,14.3,18,11.7
"UT",1.2,3.2,5.7,9.1,4.9,4.1,2,2.6,6.1,10.3,16.5,19.6,14.7
"VT",2.3,0.3,4.3,12.3,5.8,2.2,2.6,3.6,6.1,9.7,17.8,20.8,12.1
"VA",1,0.5,4.4,6,9.2,2.8,3.4,2.4,5.6,8.2,17.8,19.9,18.9
"WA",2.9,0.2,4.8,8.8,4.4,3.2,3.2,1.6,7.4,9.7,18.3,20.7,14.9
"WV",0.6,8,4.6,7.2,10.9,3.3,2.3,7.5,5.3,8.7,11.2,16.5,13.8
"WI",2.2,0.3,4.3,16.5,11.3,3.2,1.5,2.4,6.3,8.6,16.1,16.6,10.9
"WY",2.1,31.6,3.7,1.4,4.3,6.4,1.4,6.4,3.2,6.5,10.4,9.6,12.9
